id,practice_test,type,domain,skill,topic,sub_topic,question_number,difficulty,figure_description,image,equation,svg,tabular_data,question_content,answer_explanation,correct_answer,choices
579,pt9,Math,"Problem-Solving
and Data Analysis","Ratios, rates, proportional relationships, and units","Problem-Solving
and Data Analysis","Ratios, rates, proportional relationships, and units",95,Easy,,,,,,How many feet are equivalent to 34 yards? (1 yard = 3 feet),"The correct answer is 102. It's given that 1 yard is equivalent to 3 feet. Therefore, 34 yards is equivalent to \(34 \times 3\) feet, or 102 feet.",102,
49,pt3,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,49,Medium,,,\frac{-54}{u} = 6,,,What is the solution to the given equation?,"The correct answer is -9. Since $u$ is in the denominator of a fraction in the given equation, $u$ can't be equal to 0. Since $u$ isn't equal to 0, multiplying both sides of the given equation by $u$ yields an equivalent equation, $-54 = 6u$. Dividing both sides of this equation by 6 yields $u = -9$. Therefore, $-9$ is the solution to the given equation.",-9,
52,pt3,Math,Advanced Math,Equivalent expressions,Advanced Math,Equivalent expressions,52,Easy,,,,,,Which expression is equivalent to $20u - (4u + 3u^2)$?,"Choice B is correct. Combining like terms inside the parentheses of the given expression, $20u - 4u + 3u^2$, yields $20u - 7u$. Combining like terms in this resulting expression yields $13u$.\n\nChoice A is incorrect and may result from conceptual or calculation errors.\n\nChoice C is incorrect and may result from conceptual or calculation errors.\n\nChoice D is incorrect and may result from conceptual or calculation errors.",B,"{'A': '$10u$', 'B': '$13u$', 'C': '$19u$', 'D': '$21u$'}"
61,pt3,Math,Advanced Math,Equivalent expressions,Advanced Math,Equivalent expressions,61,Hard,,,,,,Which expression is equivalent to $\frac{4}{x-5} - \frac{1}{x+1}$?,"Choice D is correct. The expression $\frac{4}{x-5} - \frac{1}{x+1}$ can be rewritten as $\frac{4}{x-5} + \frac{-1}{x+1}$. To add the two terms of this expression, the terms can be rewritten with a common denominator. Since $\frac{1}{x+1}=1$, the expression $\frac{4}{x-5}$ can be rewritten as $\frac{4(x+1)}{(x-5)(x+1)}$, the expression $\frac{-1}{x+1}$ can be rewritten as $\frac{-1(x-5)}{(x+1)(x-5)}$. Therefore, the expression $\frac{4}{x-5} + \frac{-1}{x+1}$ can be rewritten as $\frac{4(x+1)-1(x-5)}{(x-5)(x+1)}$, which is equivalent to $\frac{4x+4-x+5}{(x-5)(x+1)}$. Applying the distributive property to each term of the numerator yields $\frac{3x+9}{(x-5)(x+1)}$. Adding like terms in the numerator yields $\frac{3x+9}{(x-5)(x+1)}$.

Choice A is incorrect and may result from conceptual or calculation errors.

Choice B is incorrect and may result from conceptual or calculation errors.

Choice C is incorrect and may result from conceptual or calculation errors.",D,"{'A': '$\\frac{3x}{(x+1)(x-5)}$', 'B': '$\\frac{3x-6}{3x-6}$', 'C': '$\\frac{-(x+1)}{(x+1)(4x-5)}$', 'D': '$\\frac{3x+9}{(x+1)(4x-5)}$'}"
72,pt3,Math,Algebra,Linear functions,Algebra,Linear functions,72,Easy,,,$f(x) = 7x + 1$,,,The function gives the total number of people on a company retreat with $x$ managers. What is the total number of people on a company retreat with 7 managers?,"The correct answer is 50. It's given that the function $f$ gives the total number of people on a company retreat with $x$ managers. It's also given that 7 managers are on the company retreat. Substituting 7 for $x$ in the given function yields $f(7) = 7(7) + 1$, or $f(7) = 50$. Therefore, there are a total of 50 people on a company retreat with 7 managers.",50,
76,pt3,Math,Algebra,Linear equations in two variables,Algebra,Linear equations in two variables,76,Medium,,,,,,Line $p$ is defined by $2y + 18x = 9$. Line $r$ is perpendicular to line $p$ in the $xy$-plane. What is the slope of line $r$?,"Choice C is correct. It's given that line $r$ is perpendicular to line $p$ in the $xy$-plane. This means that the slope of line $r$ is the negative reciprocal of the slope of line $p$. If the equation for line $p$ is rewritten in slope-intercept form $y = mx + b$, where $m$ and $b$ are constants, then $m$ is the slope of the line and $0, b$ is its y-intercept. Subtracting $18x$ from both sides of the equation $2y + 18x = 9$ yields $2y = -18x + 9$. Dividing both sides of this equation by $2$ yields $y = -9x + \frac{9}{2}$. It follows that the slope of line $p$ is $-9$. The negative reciprocal of a number $-i$ is divided by the number. Therefore, the negative reciprocal of $-9$ is $\frac{1}{9}$ or $\frac{1}{-9}$. Thus, the slope of line $r$ is $\frac{1}{9}$.",C,"{'A': '$-9$', 'B': '$-\\frac{1}{9}$', 'C': '$\\frac{1}{9}$', 'D': '$9$'}"
85,pt3,Math,Algebra,Linear functions,Algebra,Linear functions,85,Medium,,,,,,"In the linear function $f$, $f(0) = 8$ and $f(1) = 12$. Which equation defines $f$?","Since $f$ is a linear function, it can be defined by an equation of the form $f(x) = ax + b$, where $a$ and $b$ are constants. It's given that $f(0) = 8$. Substituting $0$ for $x$ and $8$ for $f(x)$ in the equation $f(x) = ax + b$ yields $8 = a \cdot 0 + b$, or $b = 8$. Substituting $8$ for $b$ in the equation $f(x) = ax + b$ yields $f(x) = ax + 8$. It's given that $f(1) = 12$. Substituting $1$ for $x$ and $12$ for $f(x)$ in the equation $f(x) = ax + 8$ yields $12 = a \cdot 1 + 8$, or $12 = a + 8$. Subtracting $8$ from both sides of this equation yields $a = 4$. Substituting $4$ for $a$ in the equation $f(x) = ax + 8$ yields $f(x) = 4x + 8$. Therefore, an equation that defines $f$ is $f(x) = 4x + 8$.",D,"{'A': '$f(x) = 12x + 8$', 'B': '$f(x) = 4x$', 'C': '$f(x) = 4x + 12$', 'D': '$f(x) = 4x + 8$'}"
88,pt3,Math,"Problem-Solving
and Data Analysis",Percentages,"Problem-Solving
and Data Analysis",Percentages,88,Hard,,,,,,"37\% of the items in a box are green. Of those, 37\% are also rectangular. Of the green rectangular items, 42\% are also metal. Which of the following is closest to the percentage of the items in the box that are not rectangular green metal items?","Choice C is correct. It's given that 37\% of the items in a box are green. Let x represent the total number of items in the box. It follows that \frac{37}{100}x, or 0.37x, items in the box are green. It's also given that of those, 37\% are also rectangular. Therefore, \frac{37}{100} \times 0.37x, or 0.1369x, items in the box are green rectangular items. It's also given that of the green rectangular items, 42\% are also metal. Therefore, \frac{42}{100} \times 0.1369x, or 0.057498x, items in the box are rectangular green metal items. The number of items in the box that are not rectangular green metal items is the total number of items in the box minus the number of rectangular green metal items in the box. Therefore, the number of items in the box that are not rectangular green metal items is x - 0.057498x, or 0.942502x. The percentage of items in the box that are not rectangular green metal items is the percentage that 0.942502x is of x. If p\% represents this percentage, the value of p is 100 \times \frac{0.942502x}{x}, or 94.2502. Of the given choices, 94.25\% is closest to the percentage of items in the box that are not rectangular green metal items.",C,"{'A': '1.16\\%', 'B': '57.50\\%', 'C': '94.25\\%', 'D': '98.84\\%'}"
119,pt4,Reading and Writing,"Information and
Ideas",Inferences,"Information and
Ideas",Inferences,24,Hard,,,,,,"The increased integration of digital technologies throughout the process of book creation in the late 20th and early 21st centuries lowered the costs of book production, but those decreased costs have been most significant in the manufacturing and distribution process, which occurs after the authoring, editing, and design of the book are complete. This suggests that in the late 20th and early 21st centuries, ______ Which choice most logically completes the text? them published. copies of each title. the costs of manufacturing and distributing a book.","Choice D is the best answer because it presents the conclusion that most logically follows from the text’s discussion of how digital technologies affected the process of book creation. The text explains that in the late 20th and early 21st centuries digital technologies lowered book production costs most significantly in manufacturing and distribution. The text goes on to point out that authoring, editing, and book design are distinct steps in the process that occur before manufacturing and distribution. Because the savings connected to digital technologies have been most significant in manufacturing and distribution, it’s reasonable to infer that those technologies had less of an effect on writing, editing, and designing books. Choice A is incorrect because the text focuses on lowered book production costs that occur after authoring has taken place; there’s no indication in the text whether digital technologies made writing and publishing lengthy books easier. Choice B is incorrect. Although it’s logical to conclude that customers would expect the cost of books to decline if production costs have declined, the text doesn’t address customer expectations for the cost of books or any other consumer goods. Choice C is incorrect because the text focuses broadly on how digital technologies have affected the cost of the publishing process; it doesn’t address the kinds of books being published or how many copies are printed.",D,"{'A': 'digital technologies made it easier than it had been previously for authors to write very long works and get', 'B': 'customers generally expected the cost of books to decline relative to the cost of other consumer goods.', 'C': 'publishers increased the variety of their offerings by printing more unique titles but also printed fewer', 'D': 'the costs of writing, editing, and designing a book were less affected by the technologies used than were'}"
560,pt9,Math,Algebra,Linear equations in one variable,Algebra,Linear equations in one variable,76,Easy,,,,,,"If $2x = 12$, what is the value of $9x$?","The correct answer is 54. Dividing both sides of the given equation by 2 yields $x = 6$. Multiplying both sides of this equation by 9 yields $9x = 54$. Thus, the value of $9x$ is 54.",54,
